episode,total_reward
470,23482.5289417
471,23490.5997178
472,23489.1581212
473,23475.250047
474,23437.0986654
475,23483.8273389
476,23461.2469728
477,23469.4857625
478,23482.8722738
479,23453.7145853
480,23462.9120913
481,23460.8705848
482,23446.3235121
483,23461.933941
484,23464.1892317
485,23489.2836707
486,23490.2387619
487,23488.5095996
488,23481.4509877
489,23482.5137067
490,23477.835418
491,23487.4293565
492,23471.71095
493,23491.6289209
494,23492.6329011
495,23480.4544512
496,23481.2739453
497,23483.3465811
498,23486.1270524
499,23484.3717948
500,23485.3455683
501,23461.5536474
502,23490.0252734
503,23433.6055068
504,23491.1731465
505,23475.3953294
506,23492.8512946
507,23463.7551532
508,23471.9285762
509,23457.4896534
510,23473.8184385
511,23462.0945956
512,23476.6155147
513,23486.3277294
514,23429.2134666
515,23467.6401207
516,23438.2939677
517,23486.4330352
518,23494.026342
519,23491.2797287
520,23486.94496
521,23480.31968
522,23461.4895871
523,23487.6784299
524,23493.3945021
525,23478.5944796
526,23486.2810729
527,23483.8567185
528,23487.6730432
529,23460.898517
530,23463.3050365
531,23488.5550257
532,23482.9048795
533,23446.3306865
534,23490.3360982
535,23473.465327
536,23491.9955778
537,23492.2328477
538,23474.1365414
539,23479.1150657
540,23487.0797621
541,23470.8280572
542,23459.2155535
543,23477.4854583
544,23475.4932473
545,23452.9241981
546,23483.2648303
547,23486.8985987
548,23479.7746803
549,23489.8395233
550,23478.4607003
551,23433.4449084
552,23483.418405
553,23466.1128158
554,23475.2471326
555,23482.1882389
556,23488.1227839
557,23445.5050192
558,23442.9130117
559,23473.8740763
560,23478.3135815
561,23437.0118843
562,23487.7826296
563,23440.8785455
564,23488.5805302
565,23489.8411668
566,23488.4642316
567,23488.1726894
568,23486.8229452
569,23474.9604076
570,23488.1603532
571,23486.4408862
572,23485.6290936
573,23450.2559441
574,23491.207571
575,23413.0360383
576,5195.81526001
577,4374.04192507
578,23032.9015727
579,3007.91115367
580,3008.08726683
581,4648.25896449
582,23134.4061383
583,23470.1132119
584,23298.6867885
585,3008.46861552
586,3281.76986693
587,3282.07338449
588,3829.82750668
589,4102.80336681
590,3829.75495396
591,5470.82480009
592,4376.62643243
593,3282.2577702
594,5466.89286979
595,1640.32743755
596,2734.93465558
597,1640.25995525
598,2187.11342817
599,1640.01275989
600,2460.69569895
601,1639.9572455
602,3006.47718919
603,3555.50627054
604,3555.86199701
605,3829.36495257
606,2188.18159991
607,3829.2403989
608,3282.68127071
609,8767.19069392
610,2735.83061358
611,2735.82080606
612,7731.59183222
613,2735.80344864
614,2735.90414211
615,2735.79496036
616,2735.48843066
617,2735.85564306
618,2735.86957465
619,11126.1261757
620,23014.6007731
621,2735.82762735
622,12039.2371476
623,2734.92359193
624,3008.93500594
625,4376.55238023
626,2735.76340404
627,2735.58362314
628,3008.90897099
629,3009.42996844
630,3009.00997865
631,3009.09963191
632,8513.11212519
633,3559.33251097
634,3009.04264391
635,3009.06812623
636,3009.00384951
637,3283.73274496
638,3555.39838227
639,5468.63430322
640,3009.05254343
641,4649.45480181
642,4649.51612097
643,3009.00193456
644,3556.62142255
645,3009.03330877
646,8532.87274885
647,2734.89856576
648,2734.89446139
649,2461.68466367
650,2461.60132612
651,3282.61192423
652,3556.04512443
653,3556.08090639
654,4103.32198103
655,3829.75382375
656,3282.07234786
657,3282.08902252
658,3829.61529787
659,3282.14198293
660,4103.02414655
661,3829.85775887
662,4103.57425842
663,3829.72932441
664,3829.86999217
665,3829.85915508
666,4376.75000022
667,3829.79065811
668,3829.79203409
669,4102.93724505
670,3830.08308005
671,3282.06485289
672,3281.94853538
673,3008.41895426
674,3281.9030599
675,3829.86140456
676,3829.9019551
677,2735.17996367
678,3008.52668794
679,2735.05955356
680,2461.4080775
681,3008.25178386
682,2461.55994706
683,2734.69203782
684,2461.56192978
685,2734.97095802
686,2734.87943177
687,2735.01909597
688,2734.84820135
689,2734.5767388
690,3008.54752291
691,2734.83598178
692,2734.76180566
693,2734.75311702
694,2734.72540284
695,3008.17150414
696,23473.4185321
697,23434.4571996
698,23490.5711363
699,23489.5143332
700,23491.4646362
701,23485.0972105
702,23478.4502893
703,23457.4034196
704,23476.7154446
705,23486.1028123
706,23493.7338653
707,23416.4891669
708,23478.5940488
709,23467.6745309
710,23472.4481043
711,23445.8989577
712,23479.7927008
713,23474.7840014
714,23488.4236884
715,23488.3619495
716,23488.6428856
717,23484.2812937
718,23492.0399706
719,23483.6017413
720,23468.5015779
721,23466.208054
722,23477.8561647
723,23453.2880419
724,23486.8423323
725,23475.4368183
726,23488.2687127
727,23486.4974578
728,23472.120889
729,23482.9684392
730,23488.3888431
731,23428.9542402
732,23485.9129132
733,23473.6362368
734,23463.2820087
735,23483.1966185
736,23490.4995802
737,23466.2230724
738,23481.7397714
739,23437.7856541
740,23473.3739103
741,23481.4375846
742,23484.6775049
743,23385.3751663
744,23490.3245827
745,23473.4219045
746,23485.4049521
747,23490.3256177
748,23469.2806521
749,23483.7520937
750,23443.8344231
751,23462.1944605
752,23493.1853171
753,23490.5787668
754,23489.6039635
755,23487.3399401
756,23488.1212261
757,23475.4880787
758,23487.6778662
759,23428.5281462
760,23468.9262471
761,23459.8266966
762,23491.1894256
763,23476.5686665
764,23465.8674427
765,23482.9278484
766,23490.4231474
767,23489.5018229
768,23475.713263
769,23481.1014086
770,23453.0613762
771,23486.8044662
772,23326.8308311
773,23473.2417493
774,23491.63416
775,23471.3212303
776,23491.750069
777,23480.6033366
778,23474.6597772
779,23487.2881091
780,23478.3781584
781,23486.9630096
782,23468.6292022
783,23490.7564363
784,23428.2771904
785,23479.9250083
786,23489.7620622
787,23489.8028809
788,23492.3459789
789,23489.4958362
790,23486.3721886
791,23485.0017577
792,23484.1172747
793,23489.4545616
794,23492.5436149
